Cluster ID,confidence_score,Id,Name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Purple binder service type,canonical_Zip,canonical_NAEYC Valid Until,canonical_Program Name,canonical_Agency,canonical_Eearly Head Start Fund,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Email Address,canonical_Website,canonical_Program Option,canonical_Fax,canonical_Head Start Fund,canonical_Ounce of Prevention Description,canonical_Director,canonical_Phone,canonical_Address,canonical_ECE Available Programs,canonical_CC fund,canonical_Name,canonical_Column,canonical_Center Director,canonical_Funded Enrollment,canonical_Column2,canonical_Number per Site EHS,canonical_Neighborhood,canonical_Progmod,canonical_IDHS Provider ID,canonical_Number per Site HS,canonical_Executive Director,canonical_Id
0,0.98909809497686529,0,Salvation Army - Temple / Salvation Army,1 N Ogden Ave,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60607,bakahia madison,child care,,bakahia madison,half day/full day,,,no,near west side,,,,,2262649,1 n ogden,bakahia madison,no,salvation army temple,,www.hcenter.org,haymarket center,child care,,near west side,no,,,"4343it(child care it center), 4343ps(child care ps center),",1
0,0.98909809497686529,1,Salvation Army - Temple / Salvation Army,1 N Ogden Ave,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60607,bakahia madison,child care,,bakahia madison,half day/full day,,,no,near west side,,,,,2262649,1 n ogden,bakahia madison,no,salvation army temple,,www.hcenter.org,haymarket center,child care,,near west side,no,,,"4343it(child care it center), 4343ps(child care ps center),",1
1,0.98497215906778968,2,National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60612,anelyn jablo,child care,,anelyn jablo,half day/full day,,,no,east garfield park,,,,,5339011,10 s kedzie,dorothy cole-gary,yes,national louis university - dr. effie o. ellis training center,,www.ymcachicago.org,ymca of metropolitan chicago,,,east garfield park,no,,,4364ps(hs collaboration with childcare & prek),2
1,0.98497215906778968,3,National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60612,anelyn jablo,child care,,anelyn jablo,half day/full day,,,no,east garfield park,,,,,5339011,10 s kedzie,dorothy cole-gary,yes,national louis university - dr. effie o. ellis training center,,www.ymcachicago.org,ymca of metropolitan chicago,,,east garfield park,no,,,4364ps(hs collaboration with childcare & prek),2
111,0.75099315908220077,4,Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,tiffany carter,child care,,tiffany carter,extended day,278168,tcarter63@ccc.edu,no,pullman,,,,,2916100,10001 s woodlawn,phyllis daniels-ward,yes,board trustees-city colleges of chicago - olive-harvey college,,www.ccc.edu,board trustees-city colleges of chicago,child care,,pullman,no,,,7056ps(hs collaboration with childcare & prek),5
111,0.75099315908220077,5,Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60628,tiffany carter,child care,,tiffany carter,extended day,278168,tcarter63@ccc.edu,no,pullman,,,,,2916100,10001 s woodlawn,phyllis daniels-ward,yes,board trustees-city colleges of chicago - olive-harvey college,,www.ccc.edu,board trustees-city colleges of chicago,child care,,pullman,no,,,7056ps(hs collaboration with childcare & prek),5
2,0.97295504808425903,6,Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,state pre-kindergarten,,,half day/full day,,,,,,,,,9395115,1001 w roosevelt rd,,,easter seals society of metropolitan chicago - gilchrist-marchman,,,,,,,,,,,1161
2,0.97295504808425903,7,Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,state pre-kindergarten,,,half day/full day,,,,,,,,,9395115,1001 w roosevelt rd,,,easter seals society of metropolitan chicago - gilchrist-marchman,,,,,,,,,,,1161
74,0.41441194713115692,8,Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,karen ross william,child care,,karen ross william,half day/full day,293293,kross@christopherhouse.org,no,uptown,,,,,7694540,4701 n winthrop,cp,yes,christopher house uptown,,www.christopherhouse.org,christopher house,child care,,uptown,no,,,"2672it(child care it center), 3405ps(hs collaboration with c",8
3,0.97295504808425903,9,Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,child care,,,extended day,,,,,,,,,9068600,1030 w van buren st,,,hull house association - child dev. central office- hull house cds-homes,,,,,,,,,,,478
